idx,freq
642,14.0701
643,14.0701
644,14.0701
645,14.1216
646,14.1216
647,14.1216
648,14.1216
649,14.1216
650,14.1216
651,14.1722
652,14.1722
653,14.1722
654,14.1877
655,14.2181
656,14.2181
657,14.2181
658,14.2591
659,14.3211
660,14.377
661,14.377
662,14.377
663,14.377
664,14.377
665,14.4196
666,14.4196
667,14.4844
668,14.4844
669,14.4844
670,14.4844
671,14.4844
672,14.4844
673,14.4844
674,14.4844
675,14.4844
676,14.5297
677,14.5297
678,14.5297
679,14.5297
680,14.5297
681,14.5297
682,14.5297
683,14.5297
684,14.5794
685,14.5794
686,14.6276
687,14.6276
688,14.6276
689,14.6276
690,14.6276
691,14.6276
692,14.6276
693,14.6276
694,14.6954
695,14.6954
696,14.6954
697,14.6954
698,14.6954
699,14.6954
700,14.7207
701,14.7207
702,14.7661
703,14.8341
704,14.8858
705,14.8858
706,14.9407
707,14.9407
708,14.9407
709,14.9479
710,14.9479
711,14.9795
712,14.9795
713,14.9795
714,14.9795
715,14.9795
716,14.9795
717,15.0515
718,15.0515
719,15.0515
720,15.0515
721,15.0515
722,15.0515
723,15.0515
724,15.0515
725,15.0515
726,15.0515
727,15.0515
728,15.0837
729,15.1393
730,15.1393
731,15.1393
732,15.1393
733,15.1902
734,15.26
735,15.26
736,15.26
737,15.26
738,15.26
739,15.26
740,15.26
741,15.26
742,15.26
743,15.26
744,15.26
745,15.3041
746,15.3041
747,15.3041
748,15.3041
749,15.3041
750,15.3689
751,15.3689
752,15.3689
753,15.3689
754,15.3689
755,15.4208
756,15.4208
757,15.4208
758,15.4208
759,15.4208
760,15.4208
761,15.4653
762,15.4653
763,15.4653
764,15.4653
765,15.4653
766,15.4653
767,15.4653
768,15.4653
769,15.5096
770,15.566
771,15.566
772,15.566
773,15.566
774,15.6334
775,15.6334
776,15.6669
777,15.6669
778,15.6669
779,15.6669
780,15.7184
781,15.7184
782,15.7184
783,15.7184
784,15.7184
785,15.7184
786,15.7184
787,15.7437
788,15.7437
